code_ms|vek_skupina|uroven
63-27|age19|1
63-28|age19|1
63-29|age19|1
63-30|age19|1
63-31|age19|1
63-32|age19|1
63-33|age19|1
63-34|age19|3
63-35|age19|1
63-36|age19|1
63-37|age19|1
63-38|age19|1
63-39|age19|1
63-40|age19|1
63-41|age19|1
63-42|age19|1
63-43|age19|1
63-44|age19|1
63-45|age19|1
63-46|age19|1
63-47|age19|1
63-48|age19|1
63-49|age19|1
63-50|age19|1
63-51|age19|1
63-52|age19|1
63-53|age19|1
63-54|age19|1
63-55|age19|1
63-56|age19|1
63-57|age19|1
63-58|age19|1
63-59|age19|1
63-60|age19|1
63-61|age19|1
01-01|age16|4
01-02|age16|3
01-03|age16|2
01-04|age16|1
02-01|age16|0
02-02|age16|0
02-03|age16|0
02-04|age16|0
02-05|age16|0
02-06|age16|0
02-07|age16|0
02-08|age16|0
03-01|age16|4
03-02|age16|3
03-03|age16|3
03-04|age16|3
03-05|age16|3
03-06|age16|3
03-07|age16|0
03-08|age16|0
03-09|age16|0
03-10|age16|0
03-11|age16|3
03-12|age16|3
03-13|age16|3
03-14|age16|3
03-15|age16|3
03-16|age16|3
03-17|age16|3
03-18|age16|3
03-19|age16|3
03-20|age16|3
03-21|age16|3
03-22|age16|3
03-23|age16|3
03-24|age16|3
03-25|age16|3
03-26|age16|3
03-27|age16|3
03-28|age16|3
03-29|age16|3
03-30|age16|3
03-31|age16|3
03-32|age16|3
03-33|age16|3
03-34|age16|3
03-35|age16|3
03-36|age16|3
03-37|age16|3
03-38|age16|3
03-39|age16|3
03-40|age16|3
03-41|age16|3
03-42|age16|3
03-43|age16|3
03-44|age16|3
03-45|age16|3
03-46|age16|3
03-47|age16|3
03-48|age16|3
03-49|age16|3
03-50|age16|3
03-51|age16|3
03-52|age16|2
03-53|age16|2
03-54|age16|2
03-55|age16|3
03-57|age16|2
03-58|age16|2
03-59|age16|2
03-60|age16|2
03-61|age16|2
03-62|age16|2
03-63|age16|2
03-64|age16|2
03-65|age16|2
03-66|age16|2
03-67|age16|2
03-68|age16|1
04-01|age16|4
04-02|age16|4
04-03|age16|4
04-04|age16|4
04-05|age16|4
